batch_size,layout,dimension,inner_dimension,inner_to_output_ratio,cutlass_fused_mirror,cutlass_separate_mirror,torch_full,fused_over_separate,separate_speedup_vs_torch,fused_speedup_vs_torch
8,cr,256,1024,4.0,0.06451199948787689,0.048128001391887665,0.04095999896526337,1.3404254825082114,0.8510637836743307,0.6349206239214548
8,cr,256,2048,8.0,0.07475200295448303,0.058880001306533813,0.04505600035190582,1.269565239397981,0.7652173803010095,0.6027397069124784
8,cr,512,512,1.0,0.05734400078654289,0.046592000871896744,0.05222399905323982,1.2307692246188018,1.1208790795833834,0.9107142567125418
8,cr,512,1024,2.0,0.06451199948787689,0.053247999399900436,0.0650239996612072,1.2115384655746806,1.2211538535535813,1.007936510686303
8,cr,512,2048,4.0,0.08499199897050858,0.07475200295448303,0.09011200070381165,1.136986242659755,1.2054794138249567,1.0602409849788292
8,cr,512,4096,8.0,0.11878400295972824,0.10751999914646149,0.1372160017490387,1.1047619410591993,1.2761905025885085,1.1551723997343273
8,cr,1024,1024,1.0,0.1443839967250824,0.10751999914646149,0.11673600226640701,1.3428571230586186,1.085714315412072,0.8085106723335885
8,cr,1024,2048,2.0,0.16896000504493713,0.14131200313568115,0.1730560064315796,1.195652183082492,1.2246376994983175,1.0242424317255026
8,cr,1024,4096,4.0,0.2457599937915802,0.22118400037288666,0.29388800263404846,1.1111110811688987,1.328703713372543,1.195833374260596
8,cr,1024,8192,8.0,0.3962880074977875,0.3763200044631958,0.5391359925270081,1.0530612319243438,1.4326530243749922,1.3604650716815299
8,cr,2048,2048,1.0,0.46592000126838684,0.4044800102710724,0.609279990196228,1.1518987080625787,1.5063290514354561,1.3076922830905915
8,cr,2048,4096,2.0,0.7296000123023987,0.6824960112571716,1.0762239694595337,1.0690172547066765,1.5768941527982077,1.4750876525663614
8,cr,2048,8192,4.0,1.3071359992027283,1.2544000148773193,2.0362240076065063,1.0420408033322341,1.6232652929342077,1.5577751732401803
8,cr,2048,16384,8.0,2.4432640075683594,2.391040086746216,3.9976959228515625,1.0218415078490846,1.6719485152136124,1.6362111955433911
8,rc,256,256,1.0,0.05427199974656105,0.04095999896526337,0.04198399931192398,1.3250000272848417,1.0250000090949472,0.7735848965945704
8,rc,256,512,2.0,0.05734400078654289,0.04095999896526337,0.04095999896526337,1.4000000545696836,1.0,0.7142856864440401
8,rc,256,1024,4.0,0.06348799914121628,0.04710400104522705,0.04198399931192398,1.3478260388169168,0.8913043134406547,0.6612903206878362
8,rc,256,2048,8.0,0.07628800347447395,0.058368001133203506,0.04505600035190582,1.3070175780111886,0.7719298156036227,0.5906040045599255
8,rc,512,512,1.0,0.0578560009598732,0.04608000069856644,0.048128001391887665,1.2555555573520882,1.0444444588167061,0.8318584173363016
8,rc,512,1024,2.0,0.06451199948787689,0.053247999399900436,0.06348799914121628,1.2115384655746806,1.1923076896168796,0.9841269786273941
8,rc,512,2048,4.0,0.08908800035715103,0.07782399654388428,0.0870399996638298,1.1447368975315355,1.1184210979803473,0.9770114865626026
8,rc,512,4096,8.0,0.12492799758911133,0.11264000087976456,0.1377279981970787,1.1090908790249687,1.2227272471712234,1.102459023237262
8,rc,1024,1024,1.0,0.1454080045223236,0.10649599879980087,0.11673600226640701,1.3653846732370896,1.0961538797890056,0.802816892026637
8,rc,1024,2048,2.0,0.19046400487422943,0.1438720002770424,0.17510400712490082,1.3238434476998213,1.217081897712672,0.919354852590276
8,rc,1024,4096,4.0,0.2877439856529236,0.22630399465560913,0.2979840040206909,1.2714931792998803,1.3167421303108895,1.035587254220211
8,rc,1024,8192,8.0,0.45824000239372253,0.40140798687934875,0.5591040253639221,1.1415816759307675,1.3928572515722566,1.2201117808207775
8,rc,2048,2048,1.0,0.48947200179100037,0.41625601053237915,0.6195200085639954,1.1758917334670558,1.4883148660643903,1.2656903894342135
8,rc,2048,4096,2.0,0.7869440019130707,0.7121919989585876,1.0992640256881714,1.104960464402563,1.5434939276144426,1.396877062428644
8,rc,2048,8192,4.0,1.3824000358581543,1.3025280237197876,2.1068800687789917,1.0613207629193777,1.6175314698889305,1.524074084294349
8,rc,2048,16384,8.0,2.5763840675354004,2.5093120336532593,4.123136043548584,1.0267292520749172,1.643134049592784,1.6003576856042372
8,rr,256,256,1.0,0.05222399905323982,0.03891199827194214,0.04198399931192398,1.342105298429159,1.078947398653565,0.8039215700261356
